,video_id
0,433177954
1,411408872
2,420758460
3,406526518
4,373027929
5,416001343
6,428584995
7,409890387
8,426519804
9,426125873
10,397299362
11,408611190
12,405829646
13,423061347
14,422661616
15,418404575
16,432015385
17,409252728
18,424772487
19,400738542
20,429861432
21,427037224
22,408595325
23,401547796
24,260472839
25,422945963
26,417587089
27,409687384
28,424064584
29,424396941
30,422780403
31,367848256
32,260402025
33,410225361
34,423221109
35,260446894
36,427414688
37,434271856
38,334159881
39,404837123
40,405724046
41,420400137
42,430801774
43,417738372
44,414491143
45,414859488
46,396772323
47,423809844
48,404901813
49,368186299
50,418569458
51,400753913
52,394056524
53,415356687
54,404818093
55,432640702
56,433332240
57,409062481
58,411641382
59,377230194
60,421648180
61,419059968
62,407778506
63,421593359
64,423479436
65,431814416
66,438258668
67,411461818
68,426947649
69,411940820
70,411966906
71,295359394
72,396932963
73,406426439
74,293334307
75,410381228
76,424298480
77,399962034
78,416337945
79,420240741
80,424022706
81,410721143
82,260340090
83,427206327
84,414579016
85,418369679
86,334627814
87,421942032
88,413539567
89,429722722
90,418464224
91,422070299
92,428531596
93,411696387
94,424703293
95,398742416
96,155009985
97,431288230
98,359489865
99,406322137
100,414367481
101,414352096
102,409126018
103,410272644
104,432970877
105,435201638
106,397768210
107,414812036
108,409080077
109,422050360
110,406709997
111,433376750
112,415216244
113,405152196
114,413856417
115,432806062
116,428861361
117,409259064
118,393769330
119,153142333
120,418442021
121,424402924
122,425592026
123,417491169
124,425766705
125,418053691
126,423120942
127,416377876
128,420040258
129,431005369
130,405520994
131,291141387
132,413072812
133,420775428
134,421205050
135,430923863
136,422866686
137,422409513
138,418578096
139,408478687
140,419229485
141,417338178
142,417300049
143,421433421
144,425552433
145,412015984
146,416088059
147,279045289
148,405961442
149,404848638
150,420796851
151,279958904
152,415102557
153,422019319
154,379660549
155,415127507
156,416355769
157,415522882
158,422229910
159,425181731
160,426768139
161,301574523
162,416496533
163,428473001
164,423959915
165,406839433
166,397486582
167,421228676
168,423123697
169,415119199
170,417761699
171,424327282
172,418447767
173,422088144
174,428065148
175,421235501
176,409916701
177,424095286
178,426066855
179,410973987
180,423099953
181,405550467
182,405984439
183,430236863
184,429493604
185,412807453
186,264030665
187,415290407
188,397680753
189,411319967
190,414967926
191,411122541
192,426526282
193,424131868
194,418458946
195,433500675
196,301984533
197,434281408
198,412160208
199,433914593
200,423722031
201,412197847
202,424678105
203,416198774
204,381062376
205,410449277
206,431677627
207,405261079
208,423008852
209,433324628
210,420046183
211,408935917
212,425318541
213,424917890
214,432367975
215,412932062
216,409197925
217,418354254
218,426657090
219,395373017
220,412434537
221,426053669
222,426013928
223,425378666
224,427360654
225,398401657
226,384329578
227,411131309
228,415615778
229,438721416
230,421440554
231,427401341
232,419687404
233,422585909
234,419239185
235,405034350
236,422224909
237,396025127
238,413959404
239,154534351
240,381189850
241,424343041
242,430583196
243,427390585
244,434151438
245,430767632
246,401177048
247,437094202
248,424096079
249,399340920
250,407940474
251,422405786
252,429372714
253,426404373
254,422110754
255,416058283
256,404805226
257,412326777
258,421957564
259,429206624
260,430589170
261,405202859
262,418432533
263,414741385
264,412399424
265,408240633
266,413824778
267,406036069
268,432471044
269,419424911
270,429015166
271,422702874
272,394341501
273,378463792
274,406039006
275,419108489
276,433570708
277,410435767
278,419432251
279,425027357
280,427410390
281,217698054
282,400505769
283,393641360
284,422955796
285,426481567
286,409024096
287,419004093
288,430719312
289,424149473
290,420816055
291,411031259
292,414359365
293,418028851
294,426381803
295,422954789
296,407978963
297,414370129
298,410336561
299,390758985
300,414746816
301,419928735
302,412472452
303,339326086
304,378784634
305,411016452
306,430659679
307,431573599
308,416402119
309,275560373
310,406279167
311,420212718
312,422543430
313,403924384
314,417421265
315,427605906
316,411794718
317,407656504
318,421534768
319,410770148
320,399198862
321,292469071
322,412833110
323,427444873
324,410504646
325,434432735
326,424951964
327,417484541
328,429418909
329,403542797
330,417111548
331,416532532
332,411571459
333,409661554
334,423394270
335,418949841
336,394220380
337,417294827
338,427480003
339,391419990
340,373175312
341,443004391
342,369333632
343,380000946
344,425082681
345,428785245
346,356895981
347,406527991
348,406987315
349,424180167
350,408167493
351,405484440
352,429968205
353,426518470
354,418670739
355,383619137
356,321816498
357,421113355
358,398532437
359,420919778
360,411643523
361,422903806
362,409855426
363,362358834
364,348159201
365,412379649
366,370515610
367,412591056
368,428042849
369,407955970
370,421089038
371,417357042
372,428800522
373,412173062
374,423537443
375,426298895
376,398732575
377,425338910
378,424785373
379,419625243
380,325271417
381,428697113
382,404338300
383,428458682
384,367484597
385,429996146
386,344688526
387,434755195
388,409935209
389,426013808
390,376120109
391,402387553
392,421507969
393,377197325
394,426385041
395,421109393
396,429879763
397,422710663
398,414008731
399,412435967
400,396366787
401,424056410
402,409944439
403,424407891
404,410046008
405,422050432
406,419071898
407,413267016
408,413229967
409,413673828
410,383991515
411,383275177
412,402016321
413,425879131
414,422070145
415,425254199
416,398090266
417,430608740
418,423533632
419,427823321
420,417563769
421,416744972
422,428093604
423,418057126
424,426604577
425,421755160
426,407004238
427,391864707
428,427016423
429,405195821
430,428701067
431,423322728
432,432472325
433,405491499
434,377809159
435,410237073
436,408365802
437,415832003
438,416247708
439,375158651
440,420274136
441,431115919
442,254679976
443,417062075
444,425253482
445,407030973
446,406991457
447,424315366
448,413537691
449,412651585
450,405631916
451,428024002
452,408585267
453,397432002
454,426075306
455,409452620
456,432827285
457,405196079
458,350211498
459,417587968
460,431265915
461,281603009
462,423573509
463,411964131
464,412362885
465,416862568
466,409137294
467,430197839
468,421788872
469,423283698
470,402254526
471,414647025
472,427985583
473,419737033
474,413565630
475,425767125
476,411476413
477,413447384
478,406000369
479,415351321
480,424869788
481,431974955
482,365050616
483,427852946
484,410168926
485,422444471
486,375715233
487,427774328
488,423978398
489,427283966
490,404503391
491,421167179
492,412855105
493,373262092
494,415050452
495,414650509
496,425661979
497,414952780
498,414689960
499,410736662
500,423977900
501,419991185
502,405024758
503,395868565
504,428302494
505,427106631
506,393921535
507,409486060
508,420741559
509,417643173
510,404591047
511,426607678
512,271845246
513,416227494
514,405281485
515,260619790
516,410215443
517,418559183
518,403141528
519,417798040
520,405971664
521,417134227
522,426008745
523,413357747
524,407757611
525,417242043
526,383288126
527,430382575
528,428723563
529,406874262
530,425013589
531,425199485
532,404998074
533,416896384
534,427742902
535,412330738
536,428864260
537,385189057
538,363947644
539,422363291
540,432351998
541,420351104
542,426049347
543,425765102
544,422088174
545,397825966
546,403783660
547,431708441
548,382778303
549,426220322
550,408204672
551,414722946
552,412671161
553,415749436
554,405480078
555,415693229
556,405800533
557,407586464
558,405297335
559,418927842
560,426552307
561,419628706
562,418726202
563,420602810
564,420784626
565,407186051
566,420850812
567,273239443
568,384319514
569,422844696
570,415128310
571,418869847
572,418817363
573,407023442
574,429154414
575,436954917
576,424499316
577,408726420
578,422941769
579,417907708
580,429144774
581,342708784
582,412832684
583,405360568
584,411106540
585,424359574
586,436549054
587,392315651
588,427082115
589,416624209
590,419915828
591,421897158
592,417882609
593,425164325
594,431995310
595,405091705
596,408885633
597,412113512
598,428518619
599,424295568
600,427093265
601,428407705
602,421000988
603,407070689
604,436089512
605,413297681
606,424615099
607,411624003
608,416308086
609,421605412
610,422032614
611,397544016
612,425237023
613,409582045
614,422043071
615,422415963
616,413419221
617,423002629
618,414699747
619,411454389
620,421522278
621,406138035
622,427967204
623,411820839
624,403597733
625,432219736
626,396319438
627,358574985
628,403824507
629,411442936
630,416940866
631,401923115
632,405312913
633,425005924
634,275572149
635,404557873
636,375766225
637,424240005
638,429900965
639,412938224
640,419473622
641,383838436
642,406168424
643,424282064
644,431377011
645,418687143
646,383833574
647,424362863
648,420007964
649,419485357
650,405738095
651,428707230
652,421643070
653,401788844
654,428990629
655,424915722
656,419063887
657,433163040
658,419833768
659,421157406
660,412087961
661,425045755
662,411602136
663,429215867
664,421334772
665,418575118
666,414318083
667,423664161
668,399933748
669,416155122
670,395320895
671,413903364
672,413432657
673,401626878
674,413082833
675,419811291
676,425408329
677,425655590
678,419869746
679,430066074
680,422716923
681,426778255
682,412973756
683,428290474
684,408634004
685,409141553
686,426068143
687,404461049
688,420450673
689,272112234
690,415935655
691,414800042
692,416033852
693,426644797
694,408862596
695,406491394
696,428064232
697,408056310
698,417625023
699,447020020
700,422004829
701,427057219
702,408989000
703,411044471
704,380501070
705,417981660
706,425669405
707,404237603
708,426699291
709,429241249
710,424341054
711,429019377
712,421442044
713,382054227
714,432258434
715,421260278
716,419675937
717,407404975
718,426993435
719,428470048
720,440539129
721,425609163
722,428503815
723,416131843
724,422292706
725,408992501
726,423959724
727,414996095
728,425337752
729,426685833
730,422516099
731,413903266
732,395551118
733,409987910
734,426698756
735,417832369
736,294142876
737,425078522
738,408031561
739,367665180
740,428462725
741,401269273
742,418966681
743,416668694
744,424877992
745,423459325
746,383836909
747,383371885
748,422783657
749,412125194
750,416717615
751,415874043
752,319701829
753,415282509
754,428236089
755,433764649
756,422557795
757,375558970
758,408205289
759,426470951
760,409405099
761,418955458
762,382357003
763,412142009
764,380130676
765,404949359
766,415241570
767,411187537
768,420545628
769,424679070
770,410569006
771,425297394
772,381617712
773,409367773
774,418897994
775,404302453
776,419727322
777,427963948
778,413768256
779,431355885
780,418069868
781,406675863
782,425748645
783,414122808
784,418922003
785,432777339
786,401662901
787,430662506
788,417130255
789,329918587
790,406209348
791,412740132
792,420086371
793,409661776
794,415183509
795,403040479
796,428471194
797,416358342
798,425207655
799,421206298
800,409618213
801,427830778
802,412019112
803,418206230
804,413287029
805,402186475
806,411942553
807,422254907
808,423926217
809,392210591
810,308378816
811,408178936
812,413611462
813,427941826
814,405023000
815,379641635
816,403135732
817,419766660
818,397459324
819,418039152
820,404346657
821,414841359
822,428944345
823,432216313
824,410180449
825,416072172
826,338476580
827,393380823
828,419720977
829,403865063
830,415710192
831,409304062
832,418041191
833,402018998
834,421075114
835,428253825
836,416849495
837,364545040
838,384865392
839,382109090
840,430426723
841,422648604
842,421013200
843,423643352
844,403641399
845,428118065
846,379650309
847,428060783
848,408793270
849,428048790
850,423014405
851,418718612
852,412673720
853,404311888
854,429939072
855,409047774
856,417034235
857,306484786
858,420290553
859,417880214
860,422602071
861,423111659
862,411474653
863,416939930
864,425608231
865,381465253
866,423763821
867,419884657
868,282425631
869,404751109
870,427276008
871,435664239
872,410782663
873,415507756
874,406512357
875,408229000
876,411849226
877,427257580
878,411774558
879,415038878
880,412823333
881,378483958
882,423373564
883,426269292
884,420367346
885,435231115
886,406391059
887,425558717
888,429377856
889,414346240
890,406318996
891,260725267
892,416943646
893,428369058
894,412697030
895,412408917
896,416084800
897,415710032
898,427446236
899,398506046
900,425598149
901,376468782
902,432776752
903,419078254
904,417923833
905,402899037
906,421802064
907,418168117
908,422618027
909,414263038
910,428367993
911,402733387
912,409599875
913,422669872
914,420766733
915,430374332
916,422252509
917,410802933
918,421434498
